churn,accountlength,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaldaycharge,totaleveminutes,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,totalintlcharge,numbercustomerservicecalls
No,0.6135265700483091,0.0,1.0,0.8206188887271375,0.7941988950276244,0.5961538461538461,0.7942311598618729,0.4899925871015567,0.48598130841121484,0.48890822096563724,0.6619822485207099,0.41346153846153844,0.6620065789473685,0.480605471051732,0.33333333333333337,0.4790102761160093,0.0
No,0.5120772946859903,0.0,1.0,0.830124569620279,0.4368093922651934,0.7211538461538461,0.4367255738370912,0.48295033358042994,0.5233644859813082,0.48194867333623315,0.6978550295857986,0.5288461538461539,0.6981907894736842,0.7562258153863342,0.33333333333333337,0.7542975248401472,0.0
No,0.6570048309178743,0.0,0.0,0.0,0.719267955801105,0.6346153846153847,0.7192768637009953,0.20756115641215714,0.5887850467289719,0.20704654197477165,0.3583579881656804,0.5384615384615384,0.35855263157894735,0.6423042409752321,0.5283208335737187,0.6390198107415636,0.0
No,0.4009661835748792,0.0,0.0,0.0,0.9126381215469613,0.22115384615384615,0.9126548852325816,0.5033358042994811,0.38317757009345793,0.5023923444976076,0.48520710059171585,0.3942307692307693,0.48519736842105265,0.2455122351150993,0.6666666666666666,0.2450642863850007,0.4425070493497598
No,0.357487922705314,0.0,0.0,0.0,0.4544198895027624,0.6250000000000001,0.4543977249644525,0.3080059303187547,0.7009345794392523,0.3075250108742932,0.4482248520710059,0.701923076923077,0.4481907894736842,0.48780582857684784,0.33333333333333337,0.4869695963937136,0.7564707973660301
No,0.5652173913043478,0.0,0.0,0.0,0.6502071823204421,0.48076923076923084,0.6502132845825715,0.5759822090437361,0.5046728971962615,0.574597651152675,0.5110946745562128,0.673076923076923,0.5115131578947368,0.22577753035745973,0.602451640685868,0.2257210637818848,0.0
No,0.5797101449275361,0.0,1.0,0.8107403422607161,0.6322513812154695,0.3846153846153847,0.6321348771074549,0.5033358042994811,0.5700934579439252,0.5023923444976076,0.5432692307692306,0.673076923076923,0.5435855263157895,0.3057719607425109,0.6666666666666666,0.3065957587786119,0.7564707973660301
No,0.7053140096618357,0.0,0.0,0.0,0.420925414364641,0.29807692307692313,0.4208815762746293,0.14047442550037062,0.4392523364485981,0.14006089604175728,0.5403106508875739,0.46153846153846156,0.5402960526315789,0.278799446587276,0.602451640685868,0.2793231754016471,0.0
No,0.5603864734299516,0.0,0.0,0.0,0.5158839779005525,0.47115384615384615,0.5159455616494008,0.5033358042994811,0.308411214953271,0.5023923444976076,0.5551035502958579,0.40384615384615385,0.5550986842105264,0.3884050314188723,0.4406426982957874,0.3876340711542655,0.0
No,0.6763285024154588,0.0,1.0,0.9162011859404886,0.7717541436464089,0.34615384615384615,0.7716839325614463,0.58117123795404,0.5981308411214954,0.5798173118747282,0.964127218934911,0.47115384615384615,0.964638157894737,0.5679702515515164,0.5283208335737187,0.5649015281215496,0.0
Yes,0.30917874396135264,0.0,0.0,0.0,0.32458563535911605,0.8557692307692307,0.3245988218565915,0.6052631578947368,0.3364485981308411,0.6037407568508047,0.5292159763313609,0.6057692307692307,0.5296052631578948,0.6799645687292719,0.602451640685868,0.6780211386480585,1.0
No,0.35265700483091783,0.0,0.0,0.0,0.5269337016574586,0.7596153846153847,0.5269144830387975,0.36397331356560414,0.9439252336448598,0.36320139190952594,0.481878698224852,0.4423076923076923,0.48190789473684215,0.41648975996647075,0.5283208335737187,0.4160528222869939,0.0
No,0.8067632850241545,0.0,0.0,0.0,0.32354972375690616,0.46153846153846156,0.3235831809872029,0.14714603409933283,0.22429906542056072,0.14702044367116138,0.2788461538461538,0.7692307692307693,0.27878289473684204,0.5679702515515164,0.19498750024038536,0.5649015281215496,0.0
